overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
6,Amon-Ra St. Brown,WR,DET,18.67,,18.67,,18.67,PROVEN_ELITE,79.0,5,Elite,,26.9,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12] [consensus_floor:18.0:WR4 consensus],,,,,,,,,7.7,1.7000000000000002,7.7,4.0,1,3.0,1.7000000000000002,BUY
7,Ja'Marr Chase,WR,CIN,18.67,,18.67,,18.67,PROVEN_ELITE,68.9,5,Elite,,26.5,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12] [consensus_floor:19.0:WR1 consensus],,,,,,,,,4.0,-3.0,4.0,2.0,2,0.0,-3.0,NEUTRAL
8,Puka Nacua,WR,LAR,18.32,,18.32,,18.32,PROVEN_SOLID,64.9,3,Elite,,25.3,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06] [consensus_floor:18.5:WR2 consensus],,,,,,,,,2.9,-5.1,2.9,1.0,3,-2.0,-5.1,NEUTRAL
10,Jaxon Smith-Njigba,WR,SEA,17.71,,17.71,,17.71,VOLATILE,70.0,3,Elite,,24.5,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88] [team_corr:SEA:1.08:SEA WR1 breakout 2025 - Sam Darnold] [consensus_floor:17.5:WR3 consensus breakout],,,,,,,,,5.1,-4.9,5.1,3.0,4,-1.0,-4.9,NEUTRAL
14,CeeDee Lamb,WR,DAL,16.24,,16.24,,16.24,PROVEN_ELITE,77.4,6,Elite,,27.4,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12] [consensus_floor:16.5:WR5-6 consensus],,,,,,,,,12.5,-1.5,12.5,5.0,5,0.0,-1.5,NEUTRAL
16,Justin Jefferson,WR,MIN,15.92,,15.92,,15.92,PROVEN_ELITE,67.5,6,Elite,,27.2,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12] [consensus_floor:16.0:WR5-7 consensus],,,,,,,,,13.9,-2.0999999999999996,13.9,7.0,6,1.0,-2.0999999999999996,NEUTRAL
19,Nico Collins,WR,HOU,15.42,,15.42,,15.42,VOLATILE,75.0,5,Elite,,27.5,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88] [team_corr:HOU:1.05:HOU WR1 - CJ Stroud connection] [consensus_floor:15.5:WR8 consensus HOU],,,,,,,,,21.1,2.1000000000000014,21.1,11.0,7,4.0,2.1000000000000014,BUY
26,Drake London,WR,ATL,15.0,,15.0,,15.0,PROVEN_SOLID,72.0,4,Elite,,25.1,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06] [team_corr:ATL:1.03:ATL WR1 - Tua or Penix throwing] [consensus_floor:15.0:WR6-7 consensus ATL],,,,,,,,,12.5,-13.5,12.5,6.0,8,-2.0,-13.5,NEUTRAL
33,A.J. Brown,WR,NE,14.36,,14.36,,14.36,PROVEN_ELITE,68.0,6,Elite,,29.2,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12] [team_corr:NE:1.05:Traded to Patriots - Drake Maye WR1] [consensus_floor:15.0:WR8-13 consensus NE],,,,,,,,,18.0,-15.0,18.0,9.0,9,0.0,-15.0,NEUTRAL
34,Chris Olave,WR,NO,14.1,,14.1,,14.1,PROVEN_SOLID,62.0,3,Elite,,26.2,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06] [team_corr:NO:1.0:NO WR1 - Angelichio pass heavy] [consensus_floor:13.5:WR11 consensus NO],,,,,,,,,22.3,-11.7,22.3,12.0,10,2.0,-11.7,NEUTRAL
